timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/20 17:43:26.967, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/20 17:43:56.970, 0, NVIDIA A100-SXM4-40GB, 0 %, 813 MiB, 40960 MiB
2026/09/20 17:44:26.973, 0, NVIDIA A100-SXM4-40GB, 100 %, 5967 MiB, 40960 MiB
2026/09/20 17:44:56.976, 0, NVIDIA A100-SXM4-40GB, 100 %, 5967 MiB, 40960 MiB
2026/09/20 17:45:26.980, 0, NVIDIA A100-SXM4-40GB, 100 %, 5967 MiB, 40960 MiB
2026/09/20 17:45:56.983, 0, NVIDIA A100-SXM4-40GB, 100 %, 5967 MiB, 40960 MiB
2026/09/20 17:46:26.986, 0, NVIDIA A100-SXM4-40GB, 100 %, 5967 MiB, 40960 MiB
2026/09/20 17:46:56.989, 0, NVIDIA A100-SXM4-40GB, 100 %, 5967 MiB, 40960 MiB
2026/09/20 17:47:26.993, 0, NVIDIA A100-SXM4-40GB, 97 %, 5967 MiB, 40960 MiB
2026/09/20 17:47:56.996, 0, NVIDIA A100-SXM4-40GB, 63 %, 6043 MiB, 40960 MiB
2026/09/20 17:48:26.999, 0, NVIDIA A100-SXM4-40GB, 100 %, 26433 MiB, 40960 MiB
2026/09/20 17:48:57.003, 0, NVIDIA A100-SXM4-40GB, 100 %, 26433 MiB, 40960 MiB
2026/09/20 17:49:27.008, 0, NVIDIA A100-SXM4-40GB, 100 %, 26435 MiB, 40960 MiB
2026/09/20 17:49:57.011, 0, NVIDIA A100-SXM4-40GB, 100 %, 26435 MiB, 40960 MiB
2026/09/20 17:50:27.015, 0, NVIDIA A100-SXM4-40GB, 100 %, 26435 MiB, 40960 MiB
2026/09/20 17:50:57.018, 0, NVIDIA A100-SXM4-40GB, 100 %, 26435 MiB, 40960 MiB
2026/09/20 17:51:27.021, 0, NVIDIA A100-SXM4-40GB, 100 %, 26435 MiB, 40960 MiB
2026/09/20 17:51:57.026, 0, NVIDIA A100-SXM4-40GB, 100 %, 26435 MiB, 40960 MiB
2026/09/20 17:52:27.030, 0, NVIDIA A100-SXM4-40GB, 100 %, 26435 MiB, 40960 MiB
