timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/20 20:26:40.372, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/20 20:27:10.377, 0, NVIDIA A100-SXM4-40GB, 0 %, 821 MiB, 40960 MiB
2026/09/20 20:27:40.379, 0, NVIDIA A100-SXM4-40GB, 100 %, 24835 MiB, 40960 MiB
2026/09/20 20:28:10.382, 0, NVIDIA A100-SXM4-40GB, 100 %, 24835 MiB, 40960 MiB
2026/09/20 20:28:40.384, 0, NVIDIA A100-SXM4-40GB, 100 %, 24837 MiB, 40960 MiB
2026/09/20 20:29:10.387, 0, NVIDIA A100-SXM4-40GB, 100 %, 24839 MiB, 40960 MiB
2026/09/20 20:29:40.389, 0, NVIDIA A100-SXM4-40GB, 52 %, 24845 MiB, 40960 MiB
2026/09/20 20:30:10.391, 0, NVIDIA A100-SXM4-40GB, 100 %, 24849 MiB, 40960 MiB
2026/09/20 20:30:40.394, 0, NVIDIA A100-SXM4-40GB, 61 %, 24855 MiB, 40960 MiB
2026/09/20 20:31:10.396, 0, NVIDIA A100-SXM4-40GB, 100 %, 24861 MiB, 40960 MiB
2026/09/20 20:31:40.399, 0, NVIDIA A100-SXM4-40GB, 47 %, 24869 MiB, 40960 MiB
