timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/20 20:34:29.475, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/20 20:34:59.479, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:35:29.481, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:35:59.483, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:36:29.486, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:36:59.489, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:37:29.492, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:37:59.495, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:38:29.498, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:38:59.501, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:39:29.504, 0, NVIDIA A100-SXM4-40GB, 0 %, 24831 MiB, 40960 MiB
2026/09/20 20:39:59.506, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:40:29.510, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:40:59.512, 0, NVIDIA A100-SXM4-40GB, 39 %, 24831 MiB, 40960 MiB
2026/09/20 20:41:29.515, 0, NVIDIA A100-SXM4-40GB, 0 %, 24831 MiB, 40960 MiB
2026/09/20 20:41:59.556, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:42:29.558, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:42:59.560, 0, NVIDIA A100-SXM4-40GB, 0 %, 24831 MiB, 40960 MiB
2026/09/20 20:43:29.563, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:43:59.566, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:44:29.568, 0, NVIDIA A100-SXM4-40GB, 0 %, 24831 MiB, 40960 MiB
2026/09/20 20:44:59.571, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:45:29.577, 0, NVIDIA A100-SXM4-40GB, 27 %, 24831 MiB, 40960 MiB
2026/09/20 20:45:59.579, 0, NVIDIA A100-SXM4-40GB, 65 %, 24831 MiB, 40960 MiB
2026/09/20 20:46:29.581, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:46:59.585, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:47:29.588, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:47:59.591, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:48:29.594, 0, NVIDIA A100-SXM4-40GB, 76 %, 24831 MiB, 40960 MiB
2026/09/20 20:48:59.596, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:49:29.599, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:49:59.602, 0, NVIDIA A100-SXM4-40GB, 0 %, 24831 MiB, 40960 MiB
2026/09/20 20:50:29.604, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:50:59.607, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:51:29.609, 0, NVIDIA A100-SXM4-40GB, 100 %, 24831 MiB, 40960 MiB
2026/09/20 20:51:59.612, 0, NVIDIA A100-SXM4-40GB, 0 %, 24831 MiB, 40960 MiB
