timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/21 18:45:10.730, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/21 18:45:40.733, 0, NVIDIA A100-SXM4-40GB, 100 %, 23653 MiB, 40960 MiB
2026/09/21 18:46:10.735, 0, NVIDIA A100-SXM4-40GB, 100 %, 23653 MiB, 40960 MiB
2026/09/21 18:46:40.737, 0, NVIDIA A100-SXM4-40GB, 100 %, 23653 MiB, 40960 MiB
2026/09/21 18:47:10.740, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:47:40.742, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:48:10.745, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:48:40.747, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:49:10.749, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:49:40.752, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:50:10.754, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:50:40.757, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:51:10.759, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:51:40.762, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:52:10.764, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:52:40.767, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:53:10.769, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:53:40.772, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:54:10.774, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:54:40.777, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:55:10.779, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:55:40.782, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:56:10.784, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:56:40.786, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:57:10.789, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:57:40.791, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:58:10.793, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:58:40.796, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:59:10.798, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 18:59:40.801, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 19:00:10.803, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 19:00:40.805, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 19:01:10.808, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 19:01:40.810, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 19:02:10.813, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 19:02:40.815, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 19:03:10.817, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 19:03:40.820, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 19:04:10.822, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 19:04:40.824, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/21 19:05:10.827, 0, NVIDIA A100-SXM4-40GB, 99 %, 23655 MiB, 40960 MiB
2026/09/21 19:05:40.829, 0, NVIDIA A100-SXM4-40GB, 99 %, 23655 MiB, 40960 MiB
2026/09/21 19:06:10.831, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
