timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/20 21:25:22.586, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/20 21:25:52.589, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/20 21:26:22.591, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/20 21:26:52.594, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/20 21:27:22.597, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/20 21:27:52.599, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/20 21:28:22.602, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/20 21:28:52.605, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/20 21:29:22.607, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/20 21:29:52.610, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/20 21:30:22.612, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/20 21:30:52.615, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/20 21:31:22.617, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/20 21:31:52.620, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/20 21:32:22.622, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/20 21:32:52.625, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/20 21:33:22.627, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/20 21:33:52.630, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/20 21:34:22.632, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/20 21:34:52.635, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/20 21:35:22.637, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/20 21:35:52.640, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/20 21:36:22.642, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/20 21:36:52.645, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
