timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/22 11:33:30.972, 0, NVIDIA A100-SXM4-40GB, 0 %, 1 MiB, 40960 MiB
2026/09/22 11:34:00.976, 0, NVIDIA A100-SXM4-40GB, 100 %, 23653 MiB, 40960 MiB
2026/09/22 11:34:30.979, 0, NVIDIA A100-SXM4-40GB, 100 %, 23653 MiB, 40960 MiB
2026/09/22 11:35:00.981, 0, NVIDIA A100-SXM4-40GB, 100 %, 23653 MiB, 40960 MiB
2026/09/22 11:35:30.984, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:36:00.987, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:36:30.989, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:37:00.992, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:37:30.995, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:38:00.997, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:38:31.000, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:39:01.002, 0, NVIDIA A100-SXM4-40GB, 99 %, 23655 MiB, 40960 MiB
2026/09/22 11:39:31.005, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:40:01.007, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:40:31.010, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:41:01.013, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:41:31.015, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:42:01.017, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:42:31.020, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:43:01.023, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:43:31.025, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:44:01.028, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:44:31.031, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:45:01.033, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:45:31.036, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:46:01.038, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:46:31.041, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:47:01.043, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:47:31.045, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:48:01.047, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:48:31.049, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:49:01.052, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:49:31.055, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:50:01.057, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:50:31.060, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:51:01.062, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
2026/09/22 11:51:31.065, 0, NVIDIA A100-SXM4-40GB, 100 %, 23655 MiB, 40960 MiB
